name,threads,size,branch-misses,branch-miss-rate,cache-references,cpu-clock,L1-icache-load-misses,cache-misses,cache-miss-rate,instructions,ipc,cycles,L1-dcache-loads,LLC-load-misses,branch-instructions,page-faults,real-time,single-thread-time,speedup
radixsort,2,4194304,99160.6,0.036,17193652.8,1332.104,332002.2,2780607.4,16.2924,1006456693.6,0.32,3151639093.6,340248682.8,2834285.0,66876558.0,2932.2,1.3692,1.4358,1.0486415425065732
radixsort,4,4194304,125209.4,0.032,17978679.6,1386.214,475223.4,2793592.6,15.779399999999999,1015986286.8,0.31000000000000005,3280241945.4,345469422.6,2776251.2,68626678.6,5180.6,1.4442,1.4358,0.9941836310760283
radixsort,8,4194304,131677.2,0.038,18977438.2,1318.4479999999999,505370.2,2930878.8,15.787799999999999,1029256345.4,0.33,3124871012.4,350029767.4,2706247.4,70419188.8,8245.4,1.3510000000000002,1.4358,1.0627683197631381
radixsort,16,4194304,65015.0,0.02,16903712.4,1261.648,279708.2,2772058.4,16.442200000000003,1006055618.0,0.34,2993227049.4,338555221.8,2931668.2,65894246.6,2624.4,1.2833999999999999,1.4358,1.1187470780738664
radixsort,32,4194304,71391.2,0.036,17748857.0,1261.906,318823.6,2770110.2,15.8126,1011764141.0,0.338,2995187063.4,342777040.8,2753352.0,67993533.8,5487.2,1.2822,1.4358,1.1197941038839494
radixsort,1,67108864,52482.8,0.014000000000000002,16282022.4,1262.1380000000001,213689.6,2860523.6,17.576,995462306.4,0.336,2992753405.8,335077933.6,2788411.4,65042192.6,1297.0,1.2862,1.2862,1.0
radixsort,2,67108864,62832.2,0.018,16373294.6,1275.886,233054.0,2808363.8,17.1558,995475186.0,0.33,3021524739.2,335538970.0,2844915.2,65678259.2,1296.8,1.3030000000000002,1.2862,0.9871066768994626
radixsort,4,67108864,68755.8,0.014000000000000002,17268917.8,1307.0520000000001,292671.6,2834979.6,16.537799999999997,1008770088.6,0.328,3096988648.6,339982226.0,2844092.0,66103779.4,3136.6,1.3332,1.2862,0.9647464746474648
radixsort,8,67108864,115429.6,0.041999999999999996,16592864.6,1275.708,351816.0,2731293.2,16.470800000000004,993944090.2,0.328,3020555490.8,337049221.4,2973347.6,66195632.4,1296.4,1.304,1.2862,0.9863496932515338
radixsort,16,67108864,69635.4,0.03,17575550.8,1274.3600000000001,258482.4,2822796.2,16.2026,1009376178.0,0.336,3023279121.8,341030843.4,2748967.6,66671809.8,4158.6,1.2955999999999999,1.2862,0.9927446742821859
radixsort,32,67108864,48263.6,0.016,16243805.4,1244.25,200731.8,2777826.8,17.0992,992810511.8,0.338,2953027047.6,334035648.2,2725822.0,65359211.2,1399.2,1.2642,1.2862,1.0174023097611138
radixsort,1,16777216,71112.6,0.02,17145306.4,1263.6799999999998,346947.2,2840792.8,16.7256,1010286445.0,0.336,2999091389.8,340480279.4,2798199.0,66863684.4,3647.6,1.2846,1.2846,1.0
radixsort,2,16777216,73354.8,0.014000000000000002,17658346.2,1258.83,330086.0,2806874.2,16.139400000000002,1006211131.0,0.338,2987437147.0,341797487.4,2637105.8,67892271.2,5078.4,1.2794,1.2846,1.0040644051899328
radixsort,4,16777216,82668.6,0.036,18526867.2,1265.082,397548.2,2779317.6,15.3656,1015650721.0,0.34,3002625290.4,346365951.0,2618674.6,69449169.8,7429.0,1.285,1.2846,0.9996887159533074
radixsort,8,16777216,114542.0,0.024,20043234.4,1286.5220000000002,524370.2,2821961.4,14.3358,1037639812.8,0.34,3053371109.4,354930486.8,2642883.2,71973779.0,11006.0,1.3064,1.2846,0.9833129210042866
radixsort,16,16777216,129555.0,0.04,20921230.0,1300.7959999999998,611370.4,2782185.4,13.523000000000001,1046534631.0,0.34,3087138194.2,360061690.8,2580749.2,73818325.2,13765.4,1.3408000000000002,1.2846,0.9580847255369926
radixsort,32,16777216,85420.6,0.014000000000000002,18434786.2,1265.79,368068.8,2771472.4,15.36,1019404189.6,0.34,3004356477.0,346096219.6,2669130.4,69337175.6,7224.6,1.2862000000000002,1.2846,0.998756025501477
