IPC,branch-instructions,branch-misses,branch-miss-rate,cache-misses,cache-miss-rate,cache-references,cycles,instructions,cpu-clock,page-faults,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,run_time,thread,size,workload,speedup
0.878,1719830465,30304699.6,1.762,10947393.4,4.9278,222114119.4,17085587728,14975945298,7734.002,143884.8,4625660536,38765593.2,10442336,1.8638,4,simlarge,bodytrack,2.522051722
0.922,1768539775,29843697.8,1.694,12194737.8,5.5248,220944742.4,16295574874,14980060428,7157.944,142143.6,4688705648,38251097.2,12022422.2,1.0252,8,simlarge,bodytrack,4.585056574
0.928,1849613643,29690905.8,1.614,15773056.8,7.1534,220531599.6,16351856406,15217217025,7134.222,142107,4809308859,38091655.4,15056228.2,0.631,16,simlarge,bodytrack,7.449445325
0.9,1867094622,30819419.2,1.666,17522927,7.8472,223296193.4,17100787157,15357757672,7577.454,142270.6,4863619570,39983023.2,16897506.4,0.5172,32,simlarge,bodytrack,9.088553751
0.454,880072826.6,34219654.4,3.898,25771204.8,17.6412,146124013.6,8222160580,3741416112,3515.462,144290,1948550994,44177555.6,25498331,1.9242,1,simsmall,canneal,1
0.446,894491938.2,36595613.2,4.128,25709411.2,17.0464,150841116,8564539316,3811261804,3667.302,144650.2,1977286027,48475682.2,24827252.8,1.738,2,simsmall,canneal,1.107134638
0.418,948336137,35324166,3.744,25182139.4,16.6304,151562953,9311612569,3895364184,3984.48,145912.8,2009054655,46628887.4,24837338.8,1.7714,4,simsmall,canneal,1.086259456
0.432,901775186.8,35278218.6,3.982,26440512,17.639,149921127.6,8921959121,3836107095,3813.362,144673.8,1975240713,46232215.2,25546058.4,1.599,8,simsmall,canneal,1.203377111
0.414,882958496.6,34624534,3.954,26763214.6,17.8864,149641450.2,9274611226,3811059564,3964.274,145053.2,1957676600,45409632,26068928.2,1.6824,16,simsmall,canneal,1.143723252
0.396,962379097,35323852.4,3.718,26485450.6,17.4698,151659792.4,10179854093,3988598017,4362.6,145184,2067638760,46061595.8,25477061.8,1.6034,32,simsmall,canneal,1.200074841
0.35,1405442352,58292667.6,4.2,49369641.4,19.935,247716231.2,17336893291,6123651516,7368.952,182636.2,3245694600,64263807,48229729.2,5.6538,1,simmedium,canneal,1
0.222,1350023099,58665629,4.36,48423211.8,19.609,247022928.8,27361371332,6025561271,11983.362,194011.8,3106776404,65088994,46646370.8,7.5542,2,simmedium,canneal,0.748431336
0.294,1290413453,57649935.4,4.466,48271521.6,19.6836,245355433,20619443723,5880309798,8911.856,174378.2,3034755720,60908263.4,46621120.2,4.7452,4,simmedium,canneal,1.191477704
0.288,1407386287,59438510.6,4.252,49478547.2,20.1198,246564485.6,24808534587,6182774010,10749.776,174994.8,3198087450,64271757.2,47523312.8,6.5108,8,simmedium,canneal,0.86837255
0.166,1352487896,61590355,4.554,49721116.4,19.4778,255358363.6,37069311706,6155976126,16175.976,201040.6,3181015069,72972376.4,48492376.6,8.7552,16,simmedium,canneal,0.645764803
0.348,1409211505,59108220,4.22,50429574.2,20.4442,246765745.4,17763328718,6170656185,7570.662,163657.4,3260728548,62801960.4,49351721.4,3.4022,32,simmedium,canneal,1.661807066
0.226,2331512889,110606815,4.744,106522809.2,22.5772,473921513.8,51743400040,10574873019,22549.532,440417.2,5432001083,111480385.6,100874548.4,21.5652,1,simlarge,canneal,1
0.264,2277475402,106403454.6,4.672,101205146,23.2126,436385854.8,41605523662,10301411732,18025.904,313442.4,5332350218,91549804.8,96600604,12.9632,2,simlarge,canneal,1.663570723
0.306,2289304708,116635332.8,5.098,101948340,22.6626,452704571.8,33549471264,10252265055,14198.204,248873.6,5360675742,110062861.6,97138545.4,8.6698,4,simlarge,canneal,2.487393019
0.312,2210783800,104702918.4,4.736,102276647.4,23.816,429448107,32232446100,10090973409,13636.582,213130.2,5254865433,88784842.6,97464604.8,7.5788,8,simlarge,canneal,2.845463662
0.27,2256695638,106606597,4.726,101823084,23.0204,442428255.4,39003311071,10225882947,16560.588,233151.6,5331158851,98163781.4,96309400.8,9.377,16,simlarge,canneal,2.299797377
0.292,2318500049,111252407.6,4.82,102911701.2,23.0074,447356862,35510986300,10370316953,15068.818,217046.8,5420913128,100402273.4,98380620,7.4848,32,simlarge,canneal,2.88119923
0.678,730683558.4,22023668.6,3.072,12150499.4,12.8372,94735820.4,5668400414,3841020537,2436.884,135428.2,1854061613,33519536.2,11936707.2,1.086,1,simsmall,swaptions,1
0.7,736713031.6,19666237.2,2.704,12827528.8,13.9472,92046427.6,5525298911,3861546320,2376.7,135598.2,1874702507,30125078.4,11826244.8,0.4128,2,simsmall,swaptions,2.630813953
0.694,716067601,20298785.4,2.848,12979273.8,14.0968,92118530.2,5550042874,3851722557,2381.466,135793,1867922458,31238729.2,12315361.2,0.2196,4,simsmall,swaptions,4.945355191
0.682,728957735.4,20388061.6,2.824,13611161,14.7352,92299054,5808631630,3962654450,2494.182,135687.8,1936428143,31114607.8,12830577,0.1354,8,simsmall,swaptions,8.020679468
0.632,844518221.4,21709473.4,2.588,14581309,15.1336,96299612.2,6844629729,4293399264,2946.992,135850.8,2150647309,32203086.6,13742505.2,0.1042,16,simsmall,swaptions,10.42226488
0.558,460780554,13849607,3.072,12526252,18.0162,69570732,3519043064,1965131781,1528.61,135217.4,1025811454,29551607.4,12508581.4,0.004,32,simsmall,swaptions,271.5
